author_type,pr_id,pr_number,pr_html_url
agent,3264933329,2911,https://github.com/milvus-io/pymilvus/pull/2911
agent,3265118634,2,https://github.com/classmethod/tsumiki/pull/2
agent,3265640341,30,https://github.com/steipete/Peekaboo/pull/30
agent,3265709660,205,https://github.com/sugyan/claude-code-webui/pull/205
agent,3265782173,17625,https://github.com/paradigmxyz/reth/pull/17625
agent,3231949586,32656,https://github.com/dotCMS/core/pull/32656
agent,3231950376,32657,https://github.com/dotCMS/core/pull/32657
agent,3231951012,32658,https://github.com/dotCMS/core/pull/32658
agent,3231951656,32659,https://github.com/dotCMS/core/pull/32659
agent,3231952364,32660,https://github.com/dotCMS/core/pull/32660
agent,3231953027,32661,https://github.com/dotCMS/core/pull/32661
agent,3231953757,32662,https://github.com/dotCMS/core/pull/32662
agent,3231954470,32663,https://github.com/dotCMS/core/pull/32663
agent,3231955292,32664,https://github.com/dotCMS/core/pull/32664
agent,3232028428,24,https://github.com/alariq/mc2/pull/24
agent,3232844270,359,https://github.com/proximafusion/vmecpp/pull/359
agent,3234102722,318,https://github.com/ruvnet/claude-flow/pull/318
agent,3212961701,113,https://github.com/ruvnet/ruv-FANN/pull/113
agent,3214555104,16658,https://github.com/mlflow/mlflow/pull/16658
agent,3214724259,5489,https://github.com/elizaOS/eliza/pull/5489
agent,3214782537,1538,https://github.com/onetimesecret/onetimesecret/pull/1538
agent,3214876564,5490,https://github.com/elizaOS/eliza/pull/5490
agent,3215730319,157910,https://github.com/pytorch/pytorch/pull/157910
agent,3215868710,2454,https://github.com/liam-hq/liam/pull/2454
agent,3216678691,3584,https://github.com/anyproto/anytype-swift/pull/3584
agent,3216706697,32609,https://github.com/dotCMS/core/pull/32609
agent,3216793862,467,https://github.com/openemr/openemr-devops/pull/467
agent,3164503419,40,https://github.com/amantus-ai/vibetunnel/pull/40
agent,3164567685,1008,https://github.com/OpenAgentsInc/openagents/pull/1008
agent,3164736230,1017,https://github.com/OpenAgentsInc/openagents/pull/1017
agent,3165023078,100,https://github.com/jefago/tiny-markdown-editor/pull/100
agent,3165060364,1021,https://github.com/OpenAgentsInc/openagents/pull/1021
agent,3165146820,1022,https://github.com/OpenAgentsInc/openagents/pull/1022
agent,3165176791,1664,https://github.com/quarylabs/sqruff/pull/1664
agent,3165407647,52,https://github.com/FinAegis/core-banking-prototype-laravel/pull/52
agent,3165431934,1028,https://github.com/OpenAgentsInc/openagents/pull/1028
agent,3165440543,1030,https://github.com/OpenAgentsInc/openagents/pull/1030
agent,3165441855,1031,https://github.com/OpenAgentsInc/openagents/pull/1031
agent,3165503646,1033,https://github.com/OpenAgentsInc/openagents/pull/1033
agent,3271660213,81,https://github.com/wataru-maeda/react-native-boilerplate/pull/81
agent,3271740125,82,https://github.com/wataru-maeda/react-native-boilerplate/pull/82
agent,3271748860,1727,https://github.com/freenet/freenet-core/pull/1727
agent,3271943252,4158,https://github.com/quay/quay/pull/4158
agent,3271988317,1264,https://github.com/OpenAgentsInc/openagents/pull/1264
agent,3272275087,114,https://github.com/Wei-Shaw/claude-relay-service/pull/114
agent,3272397381,273,https://github.com/lxc/terraform-provider-incus/pull/273
agent,3272907868,182,https://github.com/FinAegis/core-banking-prototype-laravel/pull/182
agent,3273233066,1037,https://github.com/tphakala/birdnet-go/pull/1037
agent,3273243547,5828,https://github.com/jdx/mise/pull/5828
agent,3273580906,61007,https://github.com/wolfi-dev/os/pull/61007
agent,3273752719,512,https://github.com/ruvnet/claude-flow/pull/512
agent,3274038425,519,https://github.com/ruvnet/claude-flow/pull/519
agent,3219102497,7692,https://github.com/pyvista/pyvista/pull/7692
agent,3219880512,10340,https://github.com/Significant-Gravitas/AutoGPT/pull/10340
agent,3220223180,86,https://github.com/Deep-Learning-Profiling-Tools/triton-viz/pull/86
agent,3220367089,936,https://github.com/tphakala/birdnet-go/pull/936
agent,3221520140,157,https://github.com/sugyan/claude-code-webui/pull/157
agent,3222101465,2520,https://github.com/liam-hq/liam/pull/2520
agent,2876006908,3375,https://github.com/zenml-io/zenml/pull/3375
agent,2876533575,3651,https://github.com/bufbuild/buf/pull/3651
agent,2882576893,158,https://github.com/modelcontextprotocol/inspector/pull/158
agent,2883083776,163,https://github.com/modelcontextprotocol/typescript-sdk/pull/163
agent,2883609845,258,https://github.com/umputun/spot/pull/258
agent,2886171819,108,https://github.com/Wan-Video/Wan2.1/pull/108
agent,2888099084,16510,https://github.com/grafana/loki/pull/16510
agent,2888185420,8624,https://github.com/SoftFever/OrcaSlicer/pull/8624
agent,2888657232,126,https://github.com/Wan-Video/Wan2.1/pull/126
agent,2889835337,60,https://github.com/mrwadams/stride-gpt/pull/60
agent,2889875255,61,https://github.com/mrwadams/stride-gpt/pull/61
agent,2889940236,70,https://github.com/rishikanthc/Scriberr/pull/70
agent,2889940415,71,https://github.com/rishikanthc/Scriberr/pull/71
agent,2892364501,1592,https://github.com/livekit/agents/pull/1592
agent,2892443818,11,https://github.com/belladoreai/llama3-tokenizer-js/pull/11
agent,2894762370,1371,https://github.com/567-labs/instructor/pull/1371
agent,3246635062,341,https://github.com/bmadcode/BMAD-METHOD/pull/341
agent,3246680171,386,https://github.com/numbagg/numbagg/pull/386
agent,3246681942,387,https://github.com/numbagg/numbagg/pull/387
agent,3246684833,388,https://github.com/numbagg/numbagg/pull/388
agent,3246764807,390,https://github.com/numbagg/numbagg/pull/390
agent,3246796582,391,https://github.com/numbagg/numbagg/pull/391
agent,3262310380,713,https://github.com/graphistry/pygraphistry/pull/713
agent,3262649320,514,https://github.com/livestorejs/livestore/pull/514
agent,3263199127,580,https://github.com/JuliaLang/JuliaSyntax.jl/pull/580
agent,3263692368,32088,https://github.com/nrwl/nx/pull/32088
agent,3263934382,1179,https://github.com/OpenAgentsInc/openagents/pull/1179
agent,3098322647,6952,https://github.com/operator-framework/operator-sdk/pull/6952
agent,3098972655,31380,https://github.com/nrwl/nx/pull/31380
agent,3142181649,19,https://github.com/sugyan/claude-code-webui/pull/19
agent,3142373237,5,https://github.com/dai-motoki/haconiwa/pull/5
agent,3144015338,883,https://github.com/facebook/idb/pull/883
agent,3145238894,30,https://github.com/sugyan/claude-code-webui/pull/30
agent,3145249026,31,https://github.com/sugyan/claude-code-webui/pull/31
agent,3145923591,45,https://github.com/GetSoloTech/solo-server/pull/45
agent,3146518192,405,https://github.com/JessicaTegner/pypandoc/pull/405
agent,3146561196,511,https://github.com/modelcontextprotocol/inspector/pull/511
agent,3165597086,80,https://github.com/sugyan/claude-code-webui/pull/80
agent,3165662397,144,https://github.com/ryoppippi/ccusage/pull/144
agent,3165677582,5,https://github.com/Akira-Papa/Claude-Code-Communication/pull/5
agent,3165750951,53,https://github.com/FinAegis/core-banking-prototype-laravel/pull/53
agent,3199027461,859,https://github.com/tphakala/birdnet-go/pull/859
agent,3199564335,4299,https://github.com/JuliaLang/Pkg.jl/pull/4299
agent,3199623142,906,https://github.com/modelcontextprotocol/modelcontextprotocol/pull/906
agent,3200679276,4304,https://github.com/JuliaLang/Pkg.jl/pull/4304
agent,3200698874,59,https://github.com/ruvnet/ruv-FANN/pull/59
agent,3200946614,121,https://github.com/sugyan/claude-code-webui/pull/121
agent,3201567268,17613,https://github.com/micropython/micropython/pull/17613
agent,3202135682,4306,https://github.com/JuliaLang/Pkg.jl/pull/4306
agent,3202692899,68,https://github.com/ruvnet/ruv-FANN/pull/68
agent,3203032594,75,https://github.com/ruvnet/ruv-FANN/pull/75
agent,3250080019,24542,https://github.com/apache/pulsar/pull/24542
agent,3250173556,393,https://github.com/numbagg/numbagg/pull/393
agent,3250200794,394,https://github.com/numbagg/numbagg/pull/394
agent,3250235391,940,https://github.com/recallnet/js-recall/pull/940
agent,3250272016,396,https://github.com/numbagg/numbagg/pull/396
agent,3250477735,397,https://github.com/numbagg/numbagg/pull/397
agent,3250746691,61,https://github.com/yoshiko-pg/difit/pull/61
agent,3251370397,13,https://github.com/ujisati/claude-code-provider-proxy/pull/13
agent,3251544513,497,https://github.com/livestorejs/livestore/pull/497
agent,3251609070,83,https://github.com/joshukraine/dotfiles/pull/83
